Id,x,y
0,192.603733823,76.2715941794
1,113.016360438,185.092759289
2,44.9550999187,77.7609393032
3,59.0104497113,183.596754611
4,174.946111531,86.1508329447
5,99.0578907241,125.927327576
6,62.4733063475,176.830009016
7,155.616403909,111.048983175
8,76.998147201,91.9573627882
9,113.410029381,34.3011539414
10,70.3429629671,142.735811716
11,152.425853397,98.9084664247
12,80.7009132808,189.935248181
13,168.088190422,162.437211498
14,163.594717,35.7248346982
15,195.220619907,78.3631625588
16,174.621775353,169.67045748
17,184.789904848,106.553234442
18,37.1352856906,159.330388798
19,123.197325092,98.3802161521
20,87.8010295268,145.155713376
21,181.421494031,138.664503323
22,182.075127261,92.5869095149
23,100.892618876,106.906354795
24,183.484176496,155.016558095
25,142.264431788,189.536043974
26,86.7987967244,133.832324784
27,107.517483349,170.552006571
28,161.174559586,86.1952998198
29,53.6761697851,175.383983265
30,174.874828269,51.7512517618
31,170.279946838,174.470785314
32,122.508131323,110.357103567
33,148.069037271,44.8567771577
34,157.820059436,158.810900252
35,54.2695413726,105.072186942
36,74.4076525297,199.82874031
37,180.20726479,143.686231285
38,167.869176704,77.6842953157
39,150.233084456,33.6396587859
40,44.893802358,98.3739150865
41,151.749747889,81.3044960047
42,63.9028869528,87.3565003025
43,77.589651289,104.459867468
44,135.137256438,65.6158223958
45,140.470199727,51.8165291895
46,89.1493149358,145.867770034
47,95.8984432813,86.7965481627
48,97.6742662565,112.713997336
49,19.4096484834,111.849135596
50,104.797905523,136.41383311
51,48.3697419605,84.5765608124
52,118.7481723,181.557211294
53,100.520094998,154.191741379
54,170.326239753,131.28304773
55,65.0264515608,44.8074448275
56,97.8087128843,183.222866416
57,104.476431427,201.148232877
58,160.721570699,49.7265989085
59,183.814769991,62.418636344
60,195.180393033,145.703530382
61,69.2428416415,141.975059385
62,107.455203962,44.4875511846
63,35.6154854362,83.8213190397
64,132.170201523,197.360030922
65,56.8924197709,128.384762407
66,112.934933941,141.592901628
67,100.492438314,111.102129434
68,95.74300001,45.9272069729
69,113.368603629,193.19262125
70,145.66364737,159.147953919
71,114.631911237,179.350933965
72,93.2836553982,147.824340767
73,99.7130689212,169.601634892
74,66.8669307109,111.104032423
75,101.50468362,153.566644538
76,85.6107471788,54.1066501846
77,117.356054926,166.162378909
78,148.864660192,181.147527728
79,80.8853039407,189.131320885
80,129.669709901,90.3580140721
81,158.02960865,94.2595106746
82,85.0404046097,64.2243416017
83,180.668133544,126.221085032
84,152.948799082,62.2454714639
85,158.988839869,65.2528131562
86,81.2118802647,71.5328793762
87,62.5299015544,181.732905178
88,52.4204759267,182.239449599
89,113.08379768,137.473433764
90,24.9177006584,84.1472606158
91,112.634190418,85.5772178452
92,38.3485169382,134.21237859
93,162.752822415,41.8414470902
94,57.5071849559,192.935820896
95,110.227619917,190.356713852
96,97.525552464,116.694838425
97,101.19542685,74.6577282935
98,90.3094523681,82.676755199
99,132.683248804,88.8234765445
100,156.310715391,135.699869695
101,110.65099525,104.491944599
102,167.108288013,76.9420726892
103,99.7483886564,193.199593581
104,80.3498167102,149.744158428
105,180.812532528,144.888035095
106,81.3965145259,193.442398035
107,170.242772404,97.0683162599
108,132.013584927,128.892051047
109,45.1028434636,36.9216809181
110,36.9167523752,103.67563322
111,21.4334716767,130.155466521
112,83.1876977267,183.799929229
113,25.09963566,155.893401537
114,22.8964715509,82.7340909859
115,30.9487704178,159.892119746
116,141.690175255,107.293515829
117,129.289067222,174.801567785
118,100.104778175,89.1348148137
119,83.0544538059,132.557844844
120,108.081059389,145.616613899
121,174.570154691,95.3501125783
122,77.9727644453,36.1108586289
123,58.3167531043,84.5041070569
124,109.822439039,132.425096384
125,198.982000814,105.476148541
