Id,x,y
0,69.8202785313,194.377226038
1,77.1661878011,95.3867300465
2,159.27011717,80.9610625007
3,76.1987665314,199.054347391
4,54.8475419974,163.062323398
5,97.1171860505,127.497347987
6,53.1741029299,40.6897870016
7,124.635557688,176.288602946
8,156.323548497,28.758142712
9,67.5961738533,29.3039200739
10,146.593100385,102.439372074
11,87.4463679866,55.6560760625
12,92.1266808037,140.845721055
13,190.538262738,93.8918231663
14,41.4894164499,105.095559862
15,123.472044382,28.4429417102
16,130.615323142,181.750973137
17,134.771189174,68.5368013521
18,92.6189863912,97.1134695862
19,172.257510097,113.037224467
20,140.229864631,147.264643231
21,186.01834404,167.464784743
22,68.6835229908,133.143628396
23,31.6055450169,91.3334663591
24,38.6329938341,76.7279019107
25,144.418838705,26.7443942295
26,63.8429536094,178.338178084
27,106.891903547,32.4474406811
28,158.174417423,55.4507139617
29,69.930836743,159.987485307
30,169.860671394,162.310982331
31,72.6535386905,76.7674555128
32,184.316204313,45.533463479
33,100.856333807,70.2527547001
34,198.135093218,105.698215965
35,79.9394019615,46.2567219463
36,146.167093197,81.8400358787
37,111.261416398,163.791331523
38,106.140175393,188.191166845
39,142.134687076,112.953710185
40,50.8798336253,67.3823212389
41,183.138279938,56.0030726844
42,82.3624065112,19.6226043538
43,49.986329364,106.698521436
44,196.381693834,109.8280285
45,109.317445211,108.625377443
46,97.6341571863,181.68995812
47,76.6627012417,192.187320539
48,112.16232256,32.8498540945
49,35.444483482,114.652534124
50,22.8442670246,104.504681977
51,90.9100992301,205.768180194
52,34.1638367867,44.3889288539
53,165.964675563,89.7727237705
54,138.402446418,101.317487109
55,143.984209433,178.74350214
56,185.273155523,145.987919493
57,144.925910085,183.128320069
58,110.056576538,179.217801603
59,71.39524322,146.529353798
60,79.8188717681,197.152281547
61,68.0633345202,126.177594331
62,68.5734222046,125.199598741
63,118.157903691,31.0495845177
64,82.2839033573,30.0490819181
65,72.4897413355,147.456782946
66,91.982844002,39.2770756056
67,72.9492168738,137.07343956
68,135.828386661,128.114715633
69,104.401865645,127.248371851
70,41.7056607047,61.5985011827
71,187.245906708,49.3920014415
72,107.395137039,193.694824243
73,151.11934112,58.8828371377
74,157.380641485,54.326225473
75,131.101103559,76.2442605271
76,23.6115000481,128.669901996
77,98.7323255009,183.639011064
78,108.129127812,12.833276467
79,77.7983647876,16.2729561213
80,48.9490447392,39.0330317112
81,142.565692904,147.308779355
82,30.6079956596,57.5073179124
83,41.8085192751,49.3337415217
84,171.057663379,64.4083233518
85,53.2061210359,140.752732485
86,21.8565660429,125.400645612
87,59.4933526611,152.667941556
88,80.8864758021,143.563554452
89,201.301640081,86.9199595045
90,144.269053818,25.6254197383
91,117.216121664,21.8213471412
92,177.101602666,53.5219293838
93,65.5418889978,146.281810205
94,58.2435406433,156.350404885
95,189.328865535,77.9222895223
96,23.3350218739,67.8024950446
97,108.848320569,77.3268485161
98,160.324820601,140.834741356
99,190.647860591,146.058033169
100,178.531504169,79.436338396
101,75.0876211296,41.5843227786
102,154.017286423,154.258984213
103,69.9513118832,37.0822532815
104,158.200358628,44.3267983513
105,166.218849453,106.799057605
106,130.420607211,58.5720852635
107,147.277440694,34.8675360667
108,166.035416927,146.863491547
109,173.398286283,155.980714214
110,86.4096796771,142.47416494
111,200.023372856,134.669075372
112,169.392288469,151.112323617
113,174.124600494,131.961715853
114,178.410548563,92.7928459799
115,155.678218445,23.7449199294
116,37.9948534649,105.097600104
117,127.008568552,173.583226912
118,157.137672576,65.4637457451
119,114.009243643,81.6485391193
120,163.512247456,188.497266455
121,78.2967852074,182.462373178
122,128.176116996,142.823076176
123,95.0130106757,82.6586014706
124,153.065561169,190.063629358
125,109.047904857,139.47250907
126,84.8025696147,137.776423657
127,48.9352774812,124.392448196
128,175.320370112,106.335053969
129,122.138899899,157.685593406
130,170.345313262,165.626951995
131,197.587685977,107.231537275
132,108.245136962,59.602994654
133,33.0810362835,117.896785235
134,89.9088286971,66.556453822
135,191.322639217,123.023616022
136,28.9111873176,143.93537551
137,168.231891445,111.296300365
138,145.872144405,129.72153645
139,142.779554385,137.77044843
140,67.2573170905,170.486476321
141,101.867984718,188.651084381
142,34.0575685079,161.27497301
143,118.318890814,176.450366531
144,72.9284957247,51.5351186655
145,108.124449133,61.1087184848
146,114.474507692,10.8234752121
147,83.5324832619,95.7724416477
148,97.9474048717,73.4302194424
149,130.716870121,109.033356265
150,171.195850521,51.7168698414
151,28.5327656058,144.150249962
152,176.520897016,137.123114644
153,119.574848551,100.861659194
154,29.5703239164,55.238001983
155,130.10131822,79.3911652693
156,176.371568394,167.510088776
157,132.050760316,87.9611851787
158,89.7985121298,196.544058773
159,59.4989158297,76.4941817721
160,120.560197161,129.82687866
161,18.6430474595,106.647305945
162,40.0009181011,90.1741357593
163,95.1127962678,136.683204737
164,60.4471255531,163.635921359
165,81.2898624551,199.896877841
166,123.012604219,19.3232655464
167,118.274105147,12.7754530661
168,152.014089177,72.1877241261
169,141.526968304,73.6752608468
170,128.941792509,89.0959039587
171,125.068595488,146.94646755
172,27.1431487861,92.3984516011
173,74.4323502698,168.472211201
174,90.5098629471,29.4151778871
175,201.005295515,85.7564906331
176,142.931624552,17.1898499131
177,140.363544963,89.8438268575
178,163.581216072,134.757152673
179,19.3241700247,86.4831346183
180,191.533114812,109.969631519
181,106.476090237,63.8820011579
182,98.2142802595,39.4069205498
183,32.1683642292,57.9481373309
184,77.9131810703,30.7392874991
185,67.8408550447,23.9317101019
186,175.85950208,39.9930877903
187,119.338221344,134.121306901
188,200.84402888,86.3931232141
189,109.736129382,69.3284836579
190,104.248452411,26.885428588
191,124.163499097,195.412890726
192,78.6108186676,123.464204843
193,129.520736597,55.4942684014
194,87.2430908457,14.7631432525
195,115.038865534,65.2629236049
