Id,x,y
0,102.97414962,56.4820429771
1,53.9620771611,162.251308215
2,130.423892672,126.141034533
3,85.5169407701,37.1010583932
4,182.405803165,43.2050849453
5,73.2808735878,152.589997535
6,101.300585704,177.851807563
7,43.0849778399,102.818937567
8,71.5786383562,115.966593783
9,158.699231928,44.8744236137
10,163.435962941,183.134154922
11,88.7120101661,38.7325637506
12,152.081846623,155.056156707
13,176.589342711,67.6740137724
14,183.028446991,84.7648331495
15,147.090257784,71.8493219767
16,96.2346136441,97.8894969698
17,116.731221242,53.9708463723
18,168.790637327,168.522591157
19,75.5015877634,193.92588942
20,37.4174573402,55.5685904133
21,50.3957394711,102.740311661
22,129.889786614,56.8764743009
23,98.7079542512,190.368796761
24,125.254544754,95.5804674542
25,66.7153531691,50.730378245
26,160.37902176,159.221576139
27,142.410783088,40.4293456184
28,191.157554703,83.5031265438
29,130.409266947,120.459447202
30,60.5947730221,26.8504859897
31,171.667825749,39.9759917255
32,115.762777391,16.7560410656
33,173.732067925,169.293135084
34,157.474432774,129.94494018
35,79.7397969893,68.652649511
36,92.5801992198,184.990659808
37,199.590769926,134.243699576
38,110.697725633,89.8792478052
39,170.061747181,119.195617308
40,113.52500579,124.493738399
41,161.892751498,185.075084352
42,58.2397511151,60.0674459901
43,164.870543345,145.635700765
44,64.9214826543,187.908787416
45,141.548862292,191.11285713
46,84.3131861023,112.683118768
47,100.745445115,95.3499683758
48,104.942346834,176.977597376
49,113.737641234,136.689223916
50,57.3442082269,60.5921061344
51,121.14153141,178.06062489
52,96.7276037735,187.133293877
53,185.530666734,97.2615813738
54,94.3049972645,163.785665643
55,126.85990288,59.7216152879
56,101.028283992,47.6713575552
57,142.597413306,59.477247523
58,41.4630485112,107.995232656
59,47.6664903482,181.398817887
60,96.7191795862,96.5462267738
61,63.3310857382,97.268044671
62,145.563838887,92.3382319969
63,128.574585557,19.9097389062
64,125.838011116,75.0721304576
65,97.2377361672,85.4376432242
66,136.757466121,199.594939427
67,92.301206335,95.2111326211
68,110.78521278,191.363678041
69,42.4468550054,137.908314391
70,78.1693620456,178.623904364
71,31.6925458088,144.565434967
72,98.0497702173,79.5737901857
73,183.293431757,147.520231813
74,147.635770585,66.0463137593
75,84.6597525624,155.237490602
76,111.107314251,16.081274687
77,89.658810255,203.021242437
78,77.7733152449,66.6278937466
79,64.0287895161,151.304554031
80,34.7630309323,113.28196944
81,79.1929920471,81.5735710936
82,72.0726416318,190.569026453
83,74.7490666642,173.754611217
84,19.4784219553,68.8277130606
85,133.623724711,85.8850432064
86,40.7355222901,150.922162473
87,84.0723501051,186.500377628
88,149.3155699,105.386355414
89,152.952842552,107.31691659
90,159.428723998,188.307882288
91,143.831133949,185.635789223
92,58.0450172443,45.848486929
93,46.2297864821,106.521421418
94,165.210964506,121.419527606
95,93.266708688,158.309743061
96,176.293692772,141.030523012
97,87.619400341,152.40714775
98,59.5922014652,167.477547836
99,116.809871918,121.876596971
