Id,x,y
0,169.366542225,95.9872689552
1,83.4525912474,118.074728378
2,63.2257196023,171.088081953
3,73.3677253212,50.9594441496
4,151.255296209,158.68866128
5,195.578340878,70.4131486933
6,38.0914465478,121.47217675
7,104.362325535,149.297561555
8,120.143100228,188.44840801
9,68.4616118214,177.404858499
10,101.605060821,196.571167167
11,74.1734165511,70.1647908157
12,107.39618273,132.470816078
13,126.16034429,69.5195300695
14,186.857469259,76.5122438785
15,120.595549253,136.650826907
16,126.951006845,149.157402813
17,205.742978012,119.787977258
18,50.5911633633,123.466686899
19,71.6376471578,103.838457346
20,96.0857825673,58.1454316123
21,80.8513917506,116.615755597
22,35.7379187576,101.280676426
23,153.156613746,80.8281096028
24,88.1330116132,174.546349606
