Id,x,y
0,78.4641875006,117.48905771
1,64.5913317281,191.584176608
2,152.811668477,70.6074345834
3,102.266173751,110.948745501
4,166.712568801,56.8423568007
5,125.600035994,176.550842927
6,138.476856302,106.935204785
7,128.507764369,178.246890649
8,47.1194295427,62.9087432303
9,90.0112174479,50.0331552001
10,113.9345785,165.980656617
11,186.311496543,124.507297384
12,20.268908478,136.993847929
13,71.5191215066,129.121453308
14,131.393250686,141.464558883
15,172.784833703,117.404117503
16,198.209241104,138.663418732
17,14.4664308501,80.8844695325
18,192.164580926,147.781442006
19,201.505216695,108.780934054
