Id,x,y
0,165.85303739,187.576241272
1,98.0752226676,122.849224052
2,45.1810128911,119.825025465
3,58.0237534744,36.3978379809
4,186.150053774,163.135861922
5,84.5069837667,41.1309857272
6,89.1422302212,93.6101790438
7,142.810293237,170.833406713
8,144.710166135,135.696015837
9,173.486703565,165.723936387
10,116.438542488,157.684203754
11,160.743323608,184.79640673
12,72.90729042,20.1436127681
13,70.9516559978,40.9271491932
14,130.356606907,74.4823412965
15,64.7442514143,39.9060626471
16,100.380209056,180.54302104
17,96.9291858558,165.838501041
18,140.920012709,184.753817578
19,171.535672742,131.567918076
20,100.990559247,110.721549772
21,57.3330844221,119.805291755
22,107.236356071,169.244336179
23,33.930371326,95.7967106847
24,57.7435972222,54.6293088682
25,37.8972063784,165.852557776
26,122.530776837,187.158968201
27,40.3840242744,146.519675524
28,130.436637228,45.5035040168
29,83.3375899133,36.1590570904
30,24.8614195371,149.775436609
31,178.235085205,160.628081216
32,108.055222715,186.655829655
33,70.0370369523,162.459140789
34,129.246495436,137.536045367
35,185.032294517,78.7584029231
36,171.36854955,149.886647486
37,206.448735079,94.0307363728
38,198.328106919,128.460033532
39,30.2217436182,124.810950032
40,120.79100495,168.869569267
41,206.416991657,125.510929262
42,62.5125761923,123.003861579
43,165.790733404,189.626438477
44,192.085442506,92.3948049779
45,145.027688954,40.9244340112
46,40.2689401215,93.193815085
47,12.1257279128,129.352491481
48,76.4611923272,186.521793995
49,104.563318551,111.25028786
